url,name,api,api_data,quality,quality_reported_at,temperature,temperature_reported_at
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/holmen,Holmen,/api/portlet/badeplass/015,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 28. juni', 'temperature': '21,6°C', 'temperature_reported_at': 'Sist målt: 28. juni klokken 10:50'}",Mindre god,2023-06-28T00:00:00,21.6,2023-06-28T10:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/garnes,Garnes,/api/portlet/badeplass/017,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 26. juni', 'temperature': '21,2°C', 'temperature_reported_at': 'Sist målt: 26. juni klokken 11:10'}",God,2023-06-26T00:00:00,21.2,2023-06-26T11:10:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/kalvtrevikaheggelandsvika,Kalvtrevika/Heggelandsvika,,,,,,
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/arna/haukelandsvatnet,Haukelandsvatnet,,,,,,
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/helleneset,Helleneset,/api/portlet/badeplass/011,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 28. juni', 'temperature': '17,5°C', 'temperature_reported_at': 'Sist målt: 28. juni klokken 10:20'}",God,2023-06-28T00:00:00,17.5,2023-06-28T10:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/nordnes-sjobad,Nordnes Sjøbad,/api/portlet/badeplass/035,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 21. juni', 'temperature': '18,3°C', 'temperature_reported_at': 'Sist målt: 27. juni klokken 09:15'}",Mindre god,2023-06-21T00:00:00,18.3,2023-06-27T09:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/sandviken-sjobad,Sandviken sjøbad,/api/portlet/badeplass/027,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 21. juni', 'temperature': '20,2°C', 'temperature_reported_at': 'Sist målt: 20. juni klokken 12:20'}",Mindre god,2023-06-21T00:00:00,20.2,2023-06-20T12:20:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/bergenhus/marineholmen-sandstrand,Marineholmen sandstrand,/api/portlet/badeplass/034,"{'quality': 'Mindre god', 'quality_reported_at': 'Sist målt: 21. juni', 'temperature': '18,3°C', 'temperature_reported_at': 'Sist målt: 27. juni klokken 08:15'}",Mindre god,2023-06-21T00:00:00,18.3,2023-06-27T08:15:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/mjolkevika,Mjølkevika,/api/portlet/badeplass/014,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 26. juni', 'temperature': '21,1°C', 'temperature_reported_at': 'Sist målt: 26. juni klokken 09:50'}",God,2023-06-26T00:00:00,21.1,2023-06-26T09:50:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/skjoldabukta,Skjoldabukta,/api/portlet/badeplass/028,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 26. juni', 'temperature': '19,8°C', 'temperature_reported_at': 'Sist målt: 26. juni klokken 08:30'}",God,2023-06-26T00:00:00,19.8,2023-06-26T08:30:00
https://www.bergen.kommune.no/hvaskjer/tema/badevann-og-parker/badeplasser/fana/gamlehaugen,Gamlehaugen,/api/portlet/badeplass/016,"{'quality': 'God', 'quality_reported_at': 'Sist målt: 26. juni', 'temperature': '20,7°C', 'temperature_reported_at': 'Sist målt: 26. juni klokken 07:55'}",God,2023-06-26T00:00:00,20.7,2023-06-26T07:55:00
